real,title
0,"Gwen Stefani Got Dumped by Blake Shelton Over ""Jealousy and Drama"" (EXCLUSIVE)"
0,Broward County Sheriff Fired For Lying About Parkland
0,"Amber Rose Shuts Down French Montana Dating Rumors, Calls Rapper Her 'Bruvaaa'"
0,Mel Gibson: Hollywood Pedophiles Have Nowhere Left To Hide
0,5 Reasons Why Tarek El Moussa Will Overcome His Latest Back Injury
0,The Kardashians donate whopping sum to Las Vegas mass shooting victims
0,Is Brad Pitt Open To Getting Back Together With Angelina After Rumors She’s Into It?
0,"A glimpse at the relationship of Meghan Markle, Kate Middleton, Prince Harry and Prince William before the British royal wedding"
0,Are Katie Holmes & Jamie Foxx Expecting A Baby? New Report Claims They Want To Start A Family
0,Why All Ladies Crush on Angelina Jolie
0,Mario Lopez admits: 'I cheated on Ali Landry days before our wedding'
0,Michael Fassbender & Alicia Vikander Split After 9 Months Of Dating
0,Ryan Lochte cleared of false-report charge after incident at Rio Olympics
0,Kim Kardashian Insisted a Sick Kanye West Go to Hospital After Saint's Pneumonia Scare: Source
0,Sofia Richie to Kourtney Kardashian: Stay Away From Scott Disick!
0,Kate Middleton Really Wants to Get Pregnant With Baby No. 3 but Prince William Is Not Having It (EXCLUSIVE)
0,"Jada Pinkett Smith Not Leaving Will Smith For August Alsina, Despite Claim"
0,Luke Bryan Jokes Gwen Stefani Is Too Hot for Blake Shelton: Watch
0,Ben Affleck Gifted A Pet Pooch On What A Source Tells Us Is His Final Day In Rehab
0,"No, ZAYN Is Not 'Desperate To Defend' Girlfriend Gigi Hadid"
0,Kim Kardashian Begs Tristan Thompson to Unblock Her on Instagram
0,Ed Sheeran admits he was able to bed hot women because of Taylor Swift
0,Jennifer Lopez Snubbed Vanessa Hudgens On ‘ Second Act ’ Set 
0,Rob Pattinson Still ‘Cares Deeply’ For Kristen Stewart — Getting Back Together After Party Reunion?
0,"Meryl Streep And Nicole Kidman Feud On ‘Big Little Lies’ Set, Reports ‘Closer Weekly’"
0,Ivanka Trump Us Weekly Cover Memes
0,Ellen DeGeneres' wife Portia de Rossi makes her cry with 60th birthday gift
0,"Brad Pitt And Angelina Jolie’s Divorce Stalls Again, His Relationship With Neri Oxman To Blame?"
0,"Michael Strahan, Sara Haines Will Host ABC’s New ‘GMA’ Hour"
0,"Singer Tina Turner: “This Thanksgiving Is The First Time in 8 Years That I am Thankful For Our President, God Bless Him And His Supporters.” Do You Support To Tina ? – American President Donald J. Tru"
0,Gwen Stefani Is Still Smitten With Blake Shelton and 'Has Never Once' Tried to Change Him (Exclusive)
0,Brad Pitt 'not in a relationship with Neri Oxman
0,Did Channing Tatum Cheat on Jenna Dewan? Actor Admitted He Struggled to Balance Work and Family
0,The Latest: 'Three Billboards' wins best drama film Globe
